Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-286,13440,0,41
2,掠奪者任務,0.995,-517,13440,0,33
3,掠奪者任務,0.990,1234,13440,2,36
4,掠奪者任務,0.985,-280,13440,0,41
5,掠奪者任務,0.980,858,13440,2,28
6,掠奪者任務,0.975,-535,13440,0,35
7,掠奪者任務,0.970,1332,13440,4,28
8,掠奪者任務,0.966,6390,10704,5,26
9,掠奪者任務,0.961,-592,13440,0,41
10,掠奪者任務,0.956,-205,13440,0,31
11,掠奪者任務,0.951,-636,13440,0,47
12,掠奪者任務,0.946,5972,11040,5,18
13,掠奪者任務,0.942,6017,10112,5,14
14,掠奪者任務,0.937,6492,10592,5,17
15,掠奪者任務,0.932,-581,13440,0,39
16,掠奪者任務,0.928,5781,7056,5,3
17,掠奪者任務,0.923,6470,9856,5,20
18,掠奪者任務,0.918,-303,13440,0,38
19,掠奪者任務,0.914,-579,13440,0,42
20,掠奪者任務,0.909,182,13440,1,44
21,掠奪者任務,0.905,-335,13440,0,44
22,掠奪者任務,0.900,124,13440,1,45
23,掠奪者任務,0.896,6022,7408,5,8
24,掠奪者任務,0.891,684,13440,2,41
25,掠奪者任務,0.887,-649,13440,0,47
26,掠奪者任務,0.882,5897,10080,5,29
27,掠奪者任務,0.878,5888,7040,5,5
28,掠奪者任務,0.873,-519,13440,0,37
29,掠奪者任務,0.869,5942,7248,5,6
30,掠奪者任務,0.865,216,13440,1,44
31,掠奪者任務,0.860,5989,7232,5,7
32,掠奪者任務,0.856,-202,13440,0,23
33,掠奪者任務,0.852,1259,13440,4,33
34,掠奪者任務,0.848,5990,7120,5,7
35,掠奪者任務,0.843,-252,13440,0,39
36,掠奪者任務,0.839,793,13440,2,34
37,掠奪者任務,0.835,1391,13440,3,26
38,掠奪者任務,0.831,-722,13440,0,44
39,掠奪者任務,0.827,1275,13440,4,38
40,掠奪者任務,0.822,-750,13440,0,48
41,掠奪者任務,0.818,296,13440,1,32
42,掠奪者任務,0.814,6098,6912,5,9
43,掠奪者任務,0.810,1295,13440,3,32
44,掠奪者任務,0.806,-665,13440,0,43
45,掠奪者任務,0.802,6063,8592,5,15
46,掠奪者任務,0.798,5957,10592,5,24
47,掠奪者任務,0.794,-529,13440,0,35
48,掠奪者任務,0.790,341,13440,1,26
49,掠奪者任務,0.786,1308,13440,4,31
50,掠奪者任務,0.782,6421,11904,6,23
51,掠奪者任務,0.778,-237,13440,0,37
52,掠奪者任務,0.774,-564,13440,0,41
53,掠奪者任務,0.771,5969,8656,5,7
54,掠奪者任務,0.767,-575,13440,0,42
55,掠奪者任務,0.763,-577,13440,0,41
56,掠奪者任務,0.759,-119,13440,0,28
57,掠奪者任務,0.755,786,13440,2,33
58,掠奪者任務,0.751,-621,13440,0,47
59,掠奪者任務,0.748,178,13440,1,43
60,掠奪者任務,0.744,-582,13440,0,42
61,掠奪者任務,0.740,7732,4832,5,1
62,掠奪者任務,0.737,-618,13440,0,36
63,掠奪者任務,0.733,6576,8176,5,11
64,掠奪者任務,0.729,-295,13440,0,38
65,掠奪者任務,0.726,-250,13440,0,35
66,掠奪者任務,0.722,5818,11360,5,21
67,掠奪者任務,0.718,1335,13440,4,28
68,掠奪者任務,0.715,6020,8320,5,9
69,掠奪者任務,0.711,-606,13440,0,40
70,掠奪者任務,0.708,6405,13440,5,19
71,掠奪者任務,0.704,768,13440,2,33
72,掠奪者任務,0.701,6404,7872,5,2
73,掠奪者任務,0.697,7688,6128,5,1
74,掠奪者任務,0.694,5985,10560,5,15
75,掠奪者任務,0.690,6058,8464,6,14
76,掠奪者任務,0.687,6010,7664,5,8
77,掠奪者任務,0.683,5910,7600,5,6
78,掠奪者任務,0.680,-573,13440,0,27
79,掠奪者任務,0.676,7750,5504,5,2
80,掠奪者任務,0.673,1357,13440,4,27
81,掠奪者任務,0.670,5876,6976,5,5
82,掠奪者任務,0.666,6397,11296,5,24
83,掠奪者任務,0.663,-249,13440,0,38
84,掠奪者任務,0.660,7757,5808,5,2
85,掠奪者任務,0.656,762,13440,2,38
86,掠奪者任務,0.653,-212,13440,0,32
87,掠奪者任務,0.650,-569,13440,0,39
88,掠奪者任務,0.647,1746,13440,4,34
89,掠奪者任務,0.643,-678,13440,0,46
90,掠奪者任務,0.640,299,13440,0,31
91,掠奪者任務,0.637,6407,13312,5,24
92,掠奪者任務,0.634,6080,8768,5,14
93,掠奪者任務,0.631,-588,13440,0,38
94,掠奪者任務,0.627,7841,6128,5,4
95,掠奪者任務,0.624,253,13440,1,40
96,掠奪者任務,0.621,6024,8800,5,14
97,掠奪者任務,0.618,6609,7136,5,10
98,掠奪者任務,0.615,5971,10736,5,15
99,掠奪者任務,0.612,6051,9968,5,12
100,掠奪者任務,0.609,5913,7408,5,5
101,掠奪者任務,0.606,-470,13440,0,30
102,掠奪者任務,0.603,6029,8832,5,14
103,掠奪者任務,0.600,-133,13440,0,25
104,掠奪者任務,0.597,6087,8304,5,13
105,掠奪者任務,0.594,1832,13440,4,29
106,掠奪者任務,0.591,5883,7616,5,5
107,掠奪者任務,0.588,7787,6064,5,3
108,掠奪者任務,0.585,198,13440,0,12
109,掠奪者任務,0.582,5979,11024,5,19
110,掠奪者任務,0.579,5889,12848,6,29
111,掠奪者任務,0.576,6236,12848,5,24
112,掠奪者任務,0.573,7688,6208,5,1
113,掠奪者任務,0.570,703,13440,2,35
114,掠奪者任務,0.568,6097,8864,5,9
115,掠奪者任務,0.565,-210,13440,0,34
116,掠奪者任務,0.562,7641,5520,5,0
117,掠奪者任務,0.559,1956,13440,4,18
118,掠奪者任務,0.556,-587,13440,0,39
119,掠奪者任務,0.554,5820,13360,5,31
120,掠奪者任務,0.551,5752,13392,5,31
121,掠奪者任務,0.548,6097,8208,5,9
122,掠奪者任務,0.545,341,13440,0,26
123,掠奪者任務,0.543,5969,11120,5,18
124,掠奪者任務,0.540,5842,13008,5,21
125,掠奪者任務,0.537,-598,13440,0,36
126,掠奪者任務,0.534,5764,13424,5,31
127,掠奪者任務,0.532,5923,13120,5,22
128,掠奪者任務,0.529,6335,7808,5,4
129,掠奪者任務,0.526,-322,13440,0,39
130,掠奪者任務,0.524,-583,13440,0,41
131,掠奪者任務,0.521,-175,13440,0,33
132,掠奪者任務,0.519,-677,13440,0,36
133,掠奪者任務,0.516,7650,5552,5,0
134,掠奪者任務,0.513,6096,10096,5,12
135,掠奪者任務,0.511,7783,5344,5,2
136,掠奪者任務,0.508,7743,5680,5,2
137,掠奪者任務,0.506,6604,9232,5,11
138,掠奪者任務,0.503,7903,6656,5,5
139,掠奪者任務,0.501,6443,7088,6,6
140,掠奪者任務,0.498,7918,6352,5,5
141,掠奪者任務,0.496,6586,9872,5,11
142,掠奪者任務,0.493,7806,6272,5,2
143,掠奪者任務,0.491,5852,7504,5,4
144,掠奪者任務,0.488,6596,9152,5,11
145,掠奪者任務,0.486,6114,7664,5,11
146,掠奪者任務,0.483,7770,5872,5,2
147,掠奪者任務,0.481,5930,11488,5,17
148,掠奪者任務,0.479,6145,8736,5,10
149,掠奪者任務,0.476,5884,13280,5,30
150,掠奪者任務,0.474,6096,10304,6,12
151,掠奪者任務,0.471,-417,13440,0,24
152,掠奪者任務,0.469,6004,8080,5,7
153,掠奪者任務,0.467,7927,6192,5,5
154,掠奪者任務,0.464,6534,8912,6,12
155,掠奪者任務,0.462,5962,7776,5,5
156,掠奪者任務,0.460,6000,8848,5,7
157,掠奪者任務,0.458,5985,12112,5,20
158,掠奪者任務,0.455,5862,7888,6,4
159,掠奪者任務,0.453,743,13440,2,38
160,掠奪者任務,0.451,684,13440,2,44
161,掠奪者任務,0.448,6548,9504,5,11
162,掠奪者任務,0.446,5996,11472,6,20
163,掠奪者任務,0.444,5938,8752,5,6
164,掠奪者任務,0.442,-131,13440,0,28
165,掠奪者任務,0.440,260,13440,1,38
166,掠奪者任務,0.437,707,13440,2,45
167,掠奪者任務,0.435,7685,6352,5,0
168,掠奪者任務,0.433,-82,13440,0,20
169,掠奪者任務,0.431,7820,6624,5,2
170,掠奪者任務,0.429,864,13440,2,30
171,掠奪者任務,0.427,8016,6336,5,7
172,掠奪者任務,0.424,766,13440,2,36
173,掠奪者任務,0.422,6157,8208,5,10
174,掠奪者任務,0.420,-606,13440,0,46
175,掠奪者任務,0.418,414,13440,1,24
176,掠奪者任務,0.416,-137,13440,0,28
177,掠奪者任務,0.414,-222,13440,0,28
178,掠奪者任務,0.412,427,13440,1,17
179,掠奪者任務,0.410,-674,13440,0,48
180,掠奪者任務,0.408,-166,13440,0,27
181,掠奪者任務,0.406,5938,8112,5,6
182,掠奪者任務,0.404,998,13440,2,11
183,掠奪者任務,0.402,5840,11680,5,26
184,掠奪者任務,0.400,6480,11408,5,11
185,掠奪者任務,0.398,6521,10848,5,16
186,掠奪者任務,0.396,1396,13440,3,19
187,掠奪者任務,0.394,399,13440,1,28
188,掠奪者任務,0.392,1313,13440,3,35
189,掠奪者任務,0.390,-505,13440,0,30
190,掠奪者任務,0.388,-592,13440,0,45
191,掠奪者任務,0.386,807,13440,2,36
192,掠奪者任務,0.384,-484,13440,0,38
193,掠奪者任務,0.382,-506,13440,0,29
194,掠奪者任務,0.380,5817,13296,5,21
195,掠奪者任務,0.378,5942,7296,5,6
196,掠奪者任務,0.376,6013,12496,5,20
197,掠奪者任務,0.374,347,13440,1,34
198,掠奪者任務,0.373,5843,12416,5,29
199,掠奪者任務,0.371,5964,7840,5,7
200,掠奪者任務,0.369,6495,13216,5,19
201,掠奪者任務,0.367,5869,12096,5,25
202,掠奪者任務,0.365,-465,13440,0,31
203,掠奪者任務,0.363,-162,13440,0,29
204,掠奪者任務,0.361,5915,11072,5,18
205,掠奪者任務,0.360,6535,9072,5,9
206,掠奪者任務,0.358,316,13440,1,32
207,掠奪者任務,0.356,6031,12336,5,11
208,掠奪者任務,0.354,-556,13440,0,45
209,掠奪者任務,0.353,785,13440,2,42
210,掠奪者任務,0.351,-404,13440,0,9
211,掠奪者任務,0.349,5883,13168,5,30
212,掠奪者任務,0.347,-486,13440,0,35
213,掠奪者任務,0.346,1937,13440,4,21
214,掠奪者任務,0.344,6564,8192,5,8
215,掠奪者任務,0.342,6499,12032,5,28
216,掠奪者任務,0.340,5880,9024,5,19
217,掠奪者任務,0.339,1416,13440,3,20
218,掠奪者任務,0.337,969,13440,3,16
219,掠奪者任務,0.335,951,13440,2,24
220,掠奪者任務,0.334,-516,13440,0,44
221,掠奪者任務,0.332,-496,13440,0,35
222,掠奪者任務,0.330,5497,9888,5,6
223,掠奪者任務,0.329,5848,7888,5,4
224,掠奪者任務,0.327,392,13440,1,29
225,掠奪者任務,0.325,-93,13440,0,27
226,掠奪者任務,0.324,6536,8624,5,8
227,掠奪者任務,0.322,1492,13440,3,20
228,掠奪者任務,0.321,6491,9344,5,7
229,掠奪者任務,0.319,919,13440,2,23
230,掠奪者任務,0.317,6119,8976,6,12
231,掠奪者任務,0.316,6114,8544,5,11
232,掠奪者任務,0.314,5560,9600,5,14
233,掠奪者任務,0.313,8329,6272,6,3
234,掠奪者任務,0.311,6518,13216,5,18
235,掠奪者任務,0.309,1441,13440,4,25
236,掠奪者任務,0.308,-366,13440,0,32
237,掠奪者任務,0.306,-299,13440,0,7
238,掠奪者任務,0.305,6526,13040,5,19
239,掠奪者任務,0.303,500,13440,0,23
240,掠奪者任務,0.302,1420,13440,4,24
241,掠奪者任務,0.300,881,13440,2,30
242,掠奪者任務,0.299,1943,13440,4,19
243,掠奪者任務,0.297,928,13440,2,26
244,掠奪者任務,0.296,5923,11616,5,27
245,掠奪者任務,0.294,-542,13440,0,42
246,掠奪者任務,0.293,414,13440,1,25
247,掠奪者任務,0.291,5969,10608,5,21
248,掠奪者任務,0.290,1381,13440,3,27
249,掠奪者任務,0.288,-357,13440,0,23
250,掠奪者任務,0.287,6496,12064,5,20
251,掠奪者任務,0.286,6002,12144,5,19
252,掠奪者任務,0.284,6521,10784,5,17
253,掠奪者任務,0.283,-429,13440,0,32
254,掠奪者任務,0.281,485,13440,1,19
255,掠奪者任務,0.280,426,13440,0,7
256,掠奪者任務,0.279,922,13440,2,23
257,掠奪者任務,0.277,6036,13056,5,17
258,掠奪者任務,0.276,1390,13440,4,27
259,掠奪者任務,0.274,1312,13440,4,38
260,掠奪者任務,0.273,-500,13440,0,36
261,掠奪者任務,0.272,6017,12048,5,9
262,掠奪者任務,0.270,-371,13440,0,22
263,掠奪者任務,0.269,-397,13440,0,30
264,掠奪者任務,0.268,5870,11680,5,20
265,掠奪者任務,0.266,-489,13440,0,29
266,掠奪者任務,0.265,-379,13440,0,29
267,掠奪者任務,0.264,-482,13440,0,32
268,掠奪者任務,0.262,-508,13440,0,12
269,掠奪者任務,0.261,-90,13440,0,25
270,掠奪者任務,0.260,-188,13440,0,36
271,掠奪者任務,0.258,-195,13440,0,11
272,掠奪者任務,0.257,426,13440,0,0
273,掠奪者任務,0.256,1483,13440,2,18
274,掠奪者任務,0.255,-529,13440,0,27
275,掠奪者任務,0.253,-351,13440,0,22
276,掠奪者任務,0.252,-155,13440,0,34
277,掠奪者任務,0.251,-487,13440,0,30
278,掠奪者任務,0.249,843,13440,2,26
279,掠奪者任務,0.248,-428,13440,0,26
280,掠奪者任務,0.247,-322,13440,0,22
281,掠奪者任務,0.246,-389,13440,0,28
282,掠奪者任務,0.245,-530,13440,0,41
283,掠奪者任務,0.243,1521,13440,3,15
284,掠奪者任務,0.242,874,13440,2,31
285,掠奪者任務,0.241,5912,13424,5,30
286,掠奪者任務,0.240,1415,13440,3,26
287,掠奪者任務,0.238,-115,13440,0,31
288,掠奪者任務,0.237,5963,12128,5,22
289,掠奪者任務,0.236,6141,11120,5,10
290,掠奪者任務,0.235,6060,9408,5,9
291,掠奪者任務,0.234,-319,13440,0,20
292,掠奪者任務,0.233,-50,13440,0,24
293,掠奪者任務,0.231,-318,13440,0,19
294,掠奪者任務,0.230,-380,13440,0,29
295,掠奪者任務,0.229,-308,13440,0,20
296,掠奪者任務,0.228,-51,13440,0,21
297,掠奪者任務,0.227,-410,13440,0,24
298,掠奪者任務,0.226,438,13440,1,21
299,掠奪者任務,0.225,50,13440,0,14
300,掠奪者任務,0.223,-27,13440,0,22
301,掠奪者任務,0.222,448,13440,1,27
302,掠奪者任務,0.221,397,13440,1,28
303,掠奪者任務,0.220,456,13440,1,24
304,掠奪者任務,0.219,6483,12992,5,21
305,掠奪者任務,0.218,459,13440,1,22
306,掠奪者任務,0.217,-44,13440,0,26
307,掠奪者任務,0.216,445,13440,1,12
308,掠奪者任務,0.215,-131,13440,0,34
309,掠奪者任務,0.214,855,13440,2,30
310,掠奪者任務,0.212,6002,12112,5,15
311,掠奪者任務,0.211,-372,13440,0,27
312,掠奪者任務,0.210,6509,10816,5,21
313,掠奪者任務,0.209,6065,10464,5,15
314,掠奪者任務,0.208,-98,13440,0,29
315,掠奪者任務,0.207,6011,10864,5,22
316,掠奪者任務,0.206,-268,13440,0,25
317,掠奪者任務,0.205,-157,13440,0,24
318,掠奪者任務,0.204,6553,10736,5,13
319,掠奪者任務,0.203,6507,10208,5,8
320,掠奪者任務,0.202,-456,13440,0,9
321,掠奪者任務,0.201,6050,9312,5,8
322,掠奪者任務,0.200,6531,11280,5,18
323,掠奪者任務,0.199,-344,13440,0,0
324,掠奪者任務,0.198,-55,13440,0,23
325,掠奪者任務,0.197,6028,13056,5,19
326,掠奪者任務,0.196,57,13440,0,14
327,掠奪者任務,0.195,534,13440,1,18
328,掠奪者任務,0.194,405,13440,0,19
329,掠奪者任務,0.193,-263,13440,0,17
330,掠奪者任務,0.192,77,13440,0,12
331,掠奪者任務,0.191,-396,13440,0,27
332,掠奪者任務,0.190,1433,13440,4,33
333,掠奪者任務,0.189,6345,10240,5,6
334,掠奪者任務,0.188,6100,11920,5,12
335,掠奪者任務,0.187,-84,13440,0,29
336,掠奪者任務,0.187,956,13440,2,24
337,掠奪者任務,0.186,6043,11184,5,12
338,掠奪者任務,0.185,-75,13440,0,4
339,掠奪者任務,0.184,481,13440,1,24
340,掠奪者任務,0.183,6657,9072,6,10
341,掠奪者任務,0.182,-207,13440,0,38
342,掠奪者任務,0.181,-108,13440,0,18
343,掠奪者任務,0.180,6067,11200,6,20
344,掠奪者任務,0.179,-97,13440,0,12
345,掠奪者任務,0.178,6551,10544,5,12
346,掠奪者任務,0.177,5935,8592,5,6
347,掠奪者任務,0.177,6069,11552,5,11
348,掠奪者任務,0.176,1495,13440,2,18
349,掠奪者任務,0.175,-289,13440,0,19
350,掠奪者任務,0.174,6001,8576,5,13
351,掠奪者任務,0.173,-117,13440,0,29
352,掠奪者任務,0.172,456,13440,1,19
353,掠奪者任務,0.171,1036,13440,2,18
354,掠奪者任務,0.170,-286,13440,0,18
355,掠奪者任務,0.170,6070,8896,5,12
356,掠奪者任務,0.169,6466,12336,5,18
357,掠奪者任務,0.168,1486,13440,4,19
358,掠奪者任務,0.167,6099,9056,5,13
359,掠奪者任務,0.166,5934,10320,5,6
360,掠奪者任務,0.165,6137,8672,5,10
361,掠奪者任務,0.165,6030,9728,5,8
362,掠奪者任務,0.164,-368,13440,0,26
363,掠奪者任務,0.163,429,13440,1,26
364,掠奪者任務,0.162,6516,12416,6,9
365,掠奪者任務,0.161,-344,13440,0,19
366,掠奪者任務,0.160,1900,13440,4,24
367,掠奪者任務,0.160,-386,13440,0,22
368,掠奪者任務,0.159,-235,13440,0,39
369,掠奪者任務,0.158,6083,9520,5,9
370,掠奪者任務,0.157,-395,13440,0,1
371,掠奪者任務,0.157,-406,13440,0,30
372,掠奪者任務,0.156,1048,13440,0,0
373,掠奪者任務,0.155,66,13440,0,9
374,掠奪者任務,0.154,6085,8240,5,13
375,掠奪者任務,0.153,6010,10528,5,17
376,掠奪者任務,0.153,1535,13440,4,12
377,掠奪者任務,0.152,336,13440,1,30
378,掠奪者任務,0.151,-346,13440,0,23
379,掠奪者任務,0.150,5815,11072,5,5
380,掠奪者任務,0.150,5935,8016,5,6
381,掠奪者任務,0.149,5902,13168,5,16
382,掠奪者任務,0.148,-423,13440,0,26
383,掠奪者任務,0.147,-399,13440,0,4
384,掠奪者任務,0.147,-171,13440,0,23
385,掠奪者任務,0.146,5715,8688,5,4
386,掠奪者任務,0.145,1663,13440,4,27
387,掠奪者任務,0.144,1285,13440,2,19
388,掠奪者任務,0.144,385,13440,1,19
389,掠奪者任務,0.143,5814,9312,5,6
390,掠奪者任務,0.142,5603,7936,5,1
391,掠奪者任務,0.142,5641,9968,5,3
392,掠奪者任務,0.141,5763,8944,5,5
393,掠奪者任務,0.140,5718,8704,5,4
394,掠奪者任務,0.139,5896,9456,5,8
395,掠奪者任務,0.139,6314,13168,6,13
396,掠奪者任務,0.138,5831,10240,5,7
397,掠奪者任務,0.137,374,13440,1,19
398,掠奪者任務,0.137,-362,13440,0,14
399,掠奪者任務,0.136,-77,13440,0,13
400,掠奪者任務,0.135,6443,9792,6,8
401,掠奪者任務,0.135,5590,7872,5,1
402,掠奪者任務,0.134,5884,12336,6,19
403,掠奪者任務,0.133,-484,13440,0,26
404,掠奪者任務,0.133,6146,12608,5,4
405,掠奪者任務,0.132,5818,8560,5,6
406,掠奪者任務,0.131,-597,13440,0,31
407,掠奪者任務,0.131,-423,13440,0,18
408,掠奪者任務,0.130,-145,13440,0,22
409,掠奪者任務,0.129,1451,13440,4,12
410,掠奪者任務,0.129,6509,9568,5,11
411,掠奪者任務,0.128,-559,13440,0,22
412,掠奪者任務,0.127,-391,13440,0,15
413,掠奪者任務,0.127,5734,8608,5,4
414,掠奪者任務,0.126,5604,8848,5,2
415,掠奪者任務,0.126,5768,10864,5,6
416,掠奪者任務,0.125,5781,8864,5,6
417,掠奪者任務,0.124,5735,9952,5,4
418,掠奪者任務,0.124,5536,8368,5,0
419,掠奪者任務,0.123,5600,9728,5,2
420,掠奪者任務,0.122,408,13440,1,13
421,掠奪者任務,0.122,-126,13440,0,22
422,掠奪者任務,0.121,354,13440,1,21
423,掠奪者任務,0.121,-325,13440,0,4
424,掠奪者任務,0.120,-514,13440,0,27
425,掠奪者任務,0.119,5834,7472,5,5
426,掠奪者任務,0.119,385,13440,1,17
427,掠奪者任務,0.118,6008,9936,6,0
428,掠奪者任務,0.118,5548,9936,5,1
429,掠奪者任務,0.117,5629,9200,5,2
430,掠奪者任務,0.116,784,13440,2,5
431,掠奪者任務,0.116,5916,10624,5,7
432,掠奪者任務,0.115,6429,13072,5,11
433,掠奪者任務,0.115,6273,10800,5,4
434,掠奪者任務,0.114,5564,9408,5,1
435,掠奪者任務,0.114,5635,8832,5,3
436,掠奪者任務,0.113,5667,9008,5,3
437,掠奪者任務,0.112,365,13440,0,8
438,掠奪者任務,0.112,-485,13440,0,24
439,掠奪者任務,0.111,1441,13440,4,11
440,掠奪者任務,0.111,5642,9984,5,2
441,掠奪者任務,0.110,6417,12768,5,13
442,掠奪者任務,0.110,5669,8736,5,3
443,掠奪者任務,0.109,849,13440,1,14
444,掠奪者任務,0.109,6427,11744,6,9
445,掠奪者任務,0.108,1384,13440,2,4
446,掠奪者任務,0.107,5610,10224,5,2
447,掠奪者任務,0.107,5784,12192,5,6
448,掠奪者任務,0.106,797,13440,2,6
449,掠奪者任務,0.106,5747,11408,5,5
450,掠奪者任務,0.105,6101,11120,6,0
451,掠奪者任務,0.105,5726,9056,5,4
452,掠奪者任務,0.104,6343,10976,5,6
453,掠奪者任務,0.104,5538,8784,5,0
454,掠奪者任務,0.103,6055,11664,6,1
455,掠奪者任務,0.103,5953,9088,5,8
456,掠奪者任務,0.102,-405,13440,0,2
457,掠奪者任務,0.102,6115,11936,5,2
458,掠奪者任務,0.101,6108,11712,6,2
459,掠奪者任務,0.101,5718,10768,5,2
460,掠奪者任務,0.100,-425,13440,0,2
461,掠奪者任務,0.100,5722,9712,5,4
462,掠奪者任務,0.099,5581,8288,5,1
463,掠奪者任務,0.099,5557,10064,5,1
464,掠奪者任務,0.098,5722,10160,5,4
465,掠奪者任務,0.098,6397,10880,5,8
466,掠奪者任務,0.097,5763,12784,5,4
467,掠奪者任務,0.097,-470,13440,0,27
468,掠奪者任務,0.096,5728,9264,5,5
469,掠奪者任務,0.096,5575,7856,5,1
470,掠奪者任務,0.095,-346,13440,0,4
471,掠奪者任務,0.095,-405,13440,0,16
472,掠奪者任務,0.094,6091,11280,5,2
473,掠奪者任務,0.094,1587,13440,3,2
474,掠奪者任務,0.093,5652,10000,5,3
475,掠奪者任務,0.093,5704,10032,5,4
476,掠奪者任務,0.092,6298,10272,6,6
477,掠奪者任務,0.092,6221,12208,5,7
478,掠奪者任務,0.092,6091,10848,5,2
479,掠奪者任務,0.091,6155,13200,5,3
480,掠奪者任務,0.091,6158,9136,6,3
481,掠奪者任務,0.090,5478,10512,5,0
482,掠奪者任務,0.090,5525,10608,5,1
483,掠奪者任務,0.089,-412,13440,0,4
484,掠奪者任務,0.089,6193,12944,5,4
485,掠奪者任務,0.088,747,13440,2,6
486,掠奪者任務,0.088,5605,9488,6,2
487,掠奪者任務,0.088,6080,10832,6,2
488,掠奪者任務,0.087,-81,13440,0,11
489,掠奪者任務,0.087,5711,8640,5,3
490,掠奪者任務,0.086,5645,11072,5,1
491,掠奪者任務,0.086,5651,10144,5,3
492,掠奪者任務,0.085,5308,10320,5,6
493,掠奪者任務,0.085,940,13440,3,0
494,掠奪者任務,0.084,-442,13440,0,8
495,掠奪者任務,0.084,5768,10576,5,5
496,掠奪者任務,0.084,5939,10880,5,12
497,掠奪者任務,0.083,6122,10768,6,2
498,掠奪者任務,0.083,5072,10144,5,1
499,掠奪者任務,0.082,-405,13440,0,8
500,掠奪者任務,0.082,-538,13440,0,21
501,掠奪者任務,0.082,5591,10816,5,2
502,掠奪者任務,0.081,5641,9296,5,1
503,掠奪者任務,0.081,5755,11008,5,5
504,掠奪者任務,0.080,-521,13440,0,6
505,掠奪者任務,0.080,6285,11808,5,6
506,掠奪者任務,0.080,5567,10992,5,1
507,掠奪者任務,0.079,779,13440,2,6
508,掠奪者任務,0.079,1548,13440,4,2
509,掠奪者任務,0.078,5619,9216,5,2
510,掠奪者任務,0.078,6172,10720,5,4
511,掠奪者任務,0.078,6303,11552,6,3
512,掠奪者任務,0.077,5516,9168,5,0
513,掠奪者任務,0.077,6057,9744,5,1
